-392.5 1 1
-371.8 1 2
-392.6 1 3
-369.0 1 4
-378.0 1 5
-364.5 1 6
-389.3 1 7
-387.9 1 8
-372.5 1 9
-375.1 1 10
-354.2 1 11
-390.1 1 12
-380.3 1 13
-388.5 1 14
-367.8 1 15
-388.1 1 16
-389.1 1 17
-389.1 1 18
-383.7 1 19
-387.1 1 20
-373.7 1 21
-390.5 1 22
-392.6 1 23
-379.1 1 24
-392.5 1 25
-360.8 1 26
-379.0 1 27
-375.3 1 28
-388.6 1 29
-380.4 1 30
-380.0 1 31
-367.6 1 32
-373.2 1 33
-384.6 1 34
-382.5 1 35
-388.5 1 36
-373.5 1 37
-377.5 1 38
-384.7 1 39
-373.0 1 40
-386.5 1 41
-387.1 1 42
-389.3 1 43
-364.0 1 44
-383.9 1 45
-383.0 1 46
-384.6 1 47
-383.4 1 48
-392.6 1 49
-383.5 1 50
-372.9 1 51
-390.6 1 52
-390.6 1 53
-384.9 1 54
-374.9 1 55
-377.6 1 56
-375.5 1 57
-385.6 1 58
-381.5 1 59
-386.2 1 60
-390.5 1 61
-391.3 1 62
-355.4 1 63
-379.1 1 64
-388.6 1 65
-391.7 1 66
-389.0 1 67
-368.3 1 68
-388.5 1 69
-388.0 1 70
-386.1 1 71
-378.7 1 72
-390.3 1 73
-390.2 1 74
-391.9 1 75
-390.9 1 76
-386.8 1 77
-389.8 1 78
-372.6 1 79
-384.4 1 80
-387.0 1 81
-386.9 1 82
-384.1 1 83
-387.9 1 84
-376.9 1 85
-355.9 1 86
-387.6 1 87
-379.8 1 88
-366.1 1 89
-386.4 1 90
-387.8 1 91
-374.8 1 92
-385.6 1 93
-372.7 1 94
-378.4 1 95
-386.5 1 96
-369.1 1 97
-377.5 1 98
-372.2 1 99
-376.7 1 100
-392.7 2 1
-392.7 2 2
-392.7 2 3
-392.7 2 4
-392.7 2 5
-392.7 2 6
-392.7 2 7
-392.6 2 8
-392.6 2 9
-392.6 2 10
-392.6 2 11
-392.6 2 12
-392.6 2 13
-392.6 2 14
-392.5 2 15
-392.5 2 16
-392.5 2 17
-392.2 2 18
-392.1 2 19
-392.1 2 20
-392.1 2 21
-392.0 2 22
-392.0 2 23
-391.9 2 24
-391.9 2 25
-391.9 2 26
-391.7 2 27
-391.3 2 28
-391.3 2 29
-391.1 2 30
-391.0 2 31
-390.9 2 32
-390.8 2 33
-390.8 2 34
-390.8 2 35
-390.8 2 36
-390.8 2 37
-390.6 2 38
-390.6 2 39
-390.5 2 40
-390.5 2 41
-390.5 2 42
-390.4 2 43
-390.4 2 44
-390.3 2 45
-390.3 2 46
-390.3 2 47
-390.3 2 48
